File:;C:\Users\Korinek\BP dvorak\QHA_LH_m45deg_pol.NSI;;
Data Type:;Far Field;;
Polarization:;E-principal;;
;;;
Frequency (GHz);;0.8695;0.8695
Theta (deg);Phi (deg);Amp (dB);
-45;-180;-0.579620361328125;132.680374145508
-45;-179;-0.596992492675781;131.861358642578
-45;-178;-0.614856719970703;131.009262084961
-45;-177;-0.629917144775391;130.185531616211
-45;-176;-0.644947052001953;129.227615356445
-45;-175;-0.583698272705078;128.399063110352
-45;-174;-0.598751068115234;127.624404907227
-45;-173;-0.617206573486328;126.677589416504
-45;-172;-0.638767242431641;125.782157897949
-45;-171;-0.660900115966797;124.928077697754
-45;-170;-0.685848236083984;124.051574707031
-45;-169;-0.710865020751953;123.201820373535
-45;-168;-0.728649139404297;122.366828918457
-45;-167;-0.750759124755859;121.471199035645
-45;-166;-0.772693634033203;120.58470916748
-45;-165;-0.79205322265625;119.648315429687
-45;-164;-0.825126647949219;118.765213012695
-45;-163;-0.852695465087891;117.860389709473
-45;-162;-0.875846862792969;116.998420715332
-45;-161;-0.914783477783203;116.086807250977
-45;-160;-0.962062835693359;115.226356506348
-45;-159;-1.01158905029297;114.391792297363
-45;-158;-1.05064010620117;113.593254089355
-45;-157;-1.08005523681641;112.750717163086
-45;-156;-1.1073112487793;111.954872131348
-45;-155;-1.13206100463867;111.076629638672
-45;-154;-1.16356658935547;110.181190490723
-45;-153;-1.18996429443359;109.278274536133
-45;-152;-1.22225952148437;108.325561523437
-45;-151;-1.24980545043945;107.344703674316
-45;-150;-1.28295135498047;106.43985748291
-45;-149;-1.31111526489258;105.420509338379
-45;-148;-1.34143447875977;104.420509338379
-45;-147;-1.37984085083008;103.565361022949
-45;-146;-1.41154861450195;102.539985656738
-45;-145;-1.44453811645508;101.56787109375
-45;-144;-1.47671127319336;100.564643859863
-45;-143;-1.50836181640625;99.5105133056641
-45;-142;-1.54584121704102;98.5200653076172
-45;-141;-1.57968521118164;97.4516067504883
-45;-140;-1.61747360229492;96.3963470458984
-45;-139;-1.64863204956055;95.4031829833984
-45;-138;-1.68412017822266;94.2604827880859
-45;-137;-1.71746063232422;93.1931228637695
-45;-136;-1.74502944946289;92.032356262207
-45;-135;-1.77974319458008;91.0111389160156
-45;-134;-1.81609725952148;89.9497680664062
-45;-133;-1.85294723510742;88.789176940918
-45;-132;-1.88332748413086;87.7178573608398
-45;-131;-1.91831970214844;86.5348663330078
-45;-130;-1.95159149169922;85.4292526245117
-45;-129;-1.98444747924805;84.2688751220703
-45;-128;-2.01880264282227;83.0410385131836
-45;-127;-2.04837417602539;81.745719909668
-45;-126;-2.08494186401367;80.5230560302734
-45;-125;-2.10711669921875;79.3712463378906
-45;-124;-2.13334655761719;78.1583480834961
-45;-123;-2.16228866577148;76.9789962768555
-45;-122;-2.18634796142578;75.6740341186523
-45;-121;-2.20682525634766;74.4032897949219
-45;-120;-2.23772430419922;73.222282409668
-45;-119;-2.25687026977539;71.9906387329102
-45;-118;-2.27709579467773;70.7163391113281
-45;-117;-2.29438018798828;69.4701232910156
-45;-116;-2.3024787902832;68.1134719848633
-45;-115;-2.32894515991211;66.9154052734375
-45;-114;-2.34440231323242;65.6880264282227
-45;-113;-2.36199188232422;64.4161987304687
-45;-112;-2.37076950073242;63.1289253234863
-45;-111;-2.38601303100586;61.8965110778809
-45;-110;-2.3973274230957;60.5937919616699
-45;-109;-2.40093231201172;59.2738418579102
-45;-108;-2.40548324584961;57.9616203308105
-45;-107;-2.40863418579102;56.6738357543945
-45;-106;-2.41168594360352;55.3660774230957
-45;-105;-2.41272354125977;54.0345230102539
-45;-104;-2.40541458129883;52.6923332214355
-45;-103;-2.4138069152832;51.3978157043457
-45;-102;-2.40503692626953;50.1029472351074
-45;-101;-2.39722061157227;48.8195152282715
-45;-100;-2.38422393798828;47.5181579589844
-45;-99;-2.37770843505859;46.1766738891602
-45;-98;-2.36593627929687;44.9040641784668
-45;-97;-2.35502243041992;43.5961494445801
-45;-96;-2.33555603027344;42.2737426757812
-45;-95;-2.32198715209961;41.0311698913574
-45;-94;-2.30228042602539;39.7153587341309
-45;-93;-2.28165054321289;38.4631156921387
-45;-92;-2.26155471801758;37.181339263916
-45;-91;-2.24015426635742;35.9198799133301
-45;-90;-2.21582794189453;34.6432266235352
-45;-89;-2.18987274169922;33.4032707214355
-45;-88;-2.16145706176758;32.1619911193848
-45;-87;-2.13300323486328;30.9357089996338
-45;-86;-2.10564422607422;29.6877899169922
-45;-85;-2.07642364501953;28.4565334320068
-45;-84;-2.04372787475586;27.2678527832031
-45;-83;-2.00988006591797;26.0280818939209
-45;-82;-1.97659301757812;24.8180465698242
-45;-81;-1.94108200073242;23.6346187591553
-45;-80;-1.90358352661133;22.468713760376
-45;-79;-1.86800003051758;21.2777404785156
-45;-78;-1.82835388183594;20.1206378936768
-45;-77;-1.79218673706055;18.9745464324951
-45;-76;-1.75028228759766;17.8261947631836
-45;-75;-1.71015548706055;16.7256107330322
-45;-74;-1.67436599731445;15.6038970947266
-45;-73;-1.63089370727539;14.4966449737549
-45;-72;-1.588623046875;13.3927392959595
-45;-71;-1.54948425292969;12.2966804504395
-45;-70;-1.50522613525391;11.1893978118896
-45;-69;-1.46437454223633;10.1416940689087
-45;-68;-1.4245491027832;9.07092952728271
-45;-67;-1.38004684448242;7.99673509597778
-45;-66;-1.33597183227539;6.96866178512573
-45;-65;-1.29441452026367;5.94217491149902
-45;-64;-1.2518196105957;4.93976068496704
-45;-63;-1.21040344238281;3.91934061050415
-45;-62;-1.1723747253418;2.91494584083557
-45;-61;-1.12313461303711;1.91397476196289
-45;-60;-1.07895278930664;0.989019691944122
-45;-59;-1.04116439819336;-0.0173266436904669
-45;-58;-0.998550415039062;-0.975509166717529
-45;-57;-0.957363128662109;-1.93524444103241
-45;-56;-0.916194915771484;-2.86533665657043
-45;-55;-0.871807098388672;-3.80684733390808
-45;-54;-0.837574005126953;-4.74968242645264
-45;-53;-0.799663543701172;-5.65515804290771
-45;-52;-0.757144927978516;-6.57571840286255
-45;-51;-0.717842102050781;-7.45947313308716
-45;-50;-0.679744720458984;-8.30766010284424
-45;-49;-0.645839691162109;-9.20707321166992
-45;-48;-0.604400634765625;-10.0928764343262
-45;-47;-0.572105407714844;-10.9846153259277
-45;-46;-0.538105010986328;-11.8486852645874
-45;-45;-0.505439758300781;-12.6857891082764
-45;-44;-0.468631744384766;-13.5491018295288
-45;-43;-0.440059661865234;-14.3985614776611
-45;-42;-0.408931732177734;-15.2236671447754
-45;-41;-0.379837036132812;-16.0551414489746
-45;-40;-0.348499298095703;-16.8996868133545
-45;-39;-0.323009490966797;-17.7383060455322
-45;-38;-0.293693542480469;-18.5186042785645
-45;-37;-0.266731262207031;-19.3537120819092
-45;-36;-0.241096496582031;-20.1097640991211
